Ford Ranger XLS 2.2 4x2 AT 2017",588000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,56.000km,HàNội,Sốtựđộng,Diesel
Mazda 3 1.5L Sedan 2017,498000000,2017,Sedan,Đãquasửdụng,Trongnước,46.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLC 300 4MATIC 2017",1570000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,Tp.HCM,Sốtựđộng,Xăng
Kia Carens 2.0MT 2015,270000000,2015,CUV,Đãquasửdụng,Trongnước,Tp.HCM,Sốtay,
Ford Transit Tiêu chuẩn 2016,275000000,2016,Van/Minivan,Đãquasửdụng,Trongnước,HàNội,Sốtay,Diesel
Toyota Innova 2.0E 2017",485000000,2017,MPV,Đãquasửdụng,Trongnước,42.222km,Tp.HCM,Sốtay,Xăng
Hyundai Grand i10 Sedan 1.2 AT 2016,230000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Mercedes-Benz S450 L Luxury 2020",3920000000,2020,Sedan,Đãquasửdụng,Trongnước,3.457km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Starex 2.5 MT 2012,378000000,2012,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,Tp.HCM,Sốtay,Diesel
Honda CR-V 1.5 L 2022,995000000,2022,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
Hyundai Accent 1.4AT Tiêu chuẩn 2019,348000000,2019,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E300 AMG 2016,1690000000,2016,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Ford Transit Tiêu chuẩn 2012",185000000,2012,Van/Minivan,Đãquasửdụng,Trongnước,HàNội,Sốtay,Diesel
Ford Ranger Wildtrak 2.0L 4x4 AT Limited 2020",809000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,21.000km,HàNội,Sốtựđộng,Diesel
Fiat 500 2009",395000000,2009,Hatchback,Đãquasửdụng,Nhậpkhẩu,56.000km,HàNội,Sốtựđộng,
SYM V5 2013",120000000,2013,Van/Minivan,Đãquasửdụng,Trongnước,188.000km,Tp.HCM,Sốtay,Xăng
