Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
BMW X6 3.0 2018,666000000,2018,SUV,Đãquasửdụng,Trongnước,86.000km,HàNội,Sốtựđộng,
Lexus RX 200 T 2017,2480000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
Hyundai Sonata 2011,430000000,2011,Sedan,Đãquasửdụng,Nhậpkhẩu,128.000km,HàNội,Sốtựđộng,Xăng
Peugeot 5008 1.6L Turbo 2018,899000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,
Ford Mustang EcoBoost 2018,2100000000,2018,Coupe,Đãquasửdụng,Nhậpkhẩu,24.000km,Tp.HCM,Sốtựđộng,Xăng
Lexus IS 250 2009,1150000000,2009,Convertible,Đãquasửdụng,Nhậpkhẩu,55.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Corolla Altis 1.8AT 2010,380000000,2010,Sedan,Đãquasửdụng,Trongnước,100.000km,BìnhDương,Sốtựđộng,Xăng
Ford Fiesta 1.6 AT 2013,280000000,2013,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,BìnhDương,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2017,865000000,2017,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz S450 L Luxury 2018,3480000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
Toyota Innova 2.0 Venturer AT 2018,640000000,2018,MPV,Đãquasửdụng,Trongnước,80.000km,HàNội,Sốtựđộng,Xăng
Mazda 6 2.0 Premium 2017,658000000,2017,Sedan,Đãquasửdụng,Trongnước,30.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Innova 2.0G 2017,580000000,2017,MPV,Đãquasửdụng,Trongnước,120.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C200 2.0 AT 2018,1185000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,29.000km,HàNội,Sốtựđộng,Xăng
